province,zone,nb_people,nb_areas,nb_areas_tot,penta_cov,zdc_cov,nb_zones,level,year
Sud Kivu,Mwenga,117.0,5.0,18.0,58.5,21.5,1.0,zone,2022
Sud Kivu,Nundu,80.0,5.0,21.0,61.2,7.3,1.0,zone,2022
Sud Kivu,Nyangezi,136.0,5.0,12.0,84.2,6.2,1.0,zone,2022
Sud Kivu,Nyantende,95.0,5.0,11.0,87.5,5.4,1.0,zone,2022
Sud Kivu,Ruzizi,78.0,5.0,23.0,49.8,10.4,1.0,zone,2022
Sud Kivu,Shabunda,99.0,5.0,23.0,82.7,3.7,1.0,zone,2022
Sud Kivu,Uvira,88.0,5.0,22.0,65.7,11.5,1.0,zone,2022
Sud Kivu,Walungu,78.0,5.0,23.0,92.1,0.0,1.0,zone,2022
Sankuru,Bena Dibele,78.0,5.0,13.0,22.7,57.5,1.0,zone,2022
Sankuru,Dikungu,114.0,5.0,17.0,22.9,39.5,1.0,zone,2022
Sankuru,Djalo Ndjeka,109.0,5.0,14.0,24.3,32.7,1.0,zone,2022
Sankuru,Katako Kombe,115.0,5.0,17.0,43.6,38.6,1.0,zone,2022
Sankuru,Kole,98.0,5.0,12.0,26.8,51.5,1.0,zone,2022
Sankuru,Lodja,106.0,5.0,23.0,11.5,47.1,1.0,zone,2022
Sankuru,Lomela,107.0,5.0,19.0,32.2,14.7,1.0,zone,2022
Sankuru,Lusambo,95.0,5.0,13.0,10.7,27.5,1.0,zone,2022
Sankuru,Minga,105.0,5.0,19.0,13.2,31.4,1.0,zone,2022
Sankuru,Omendjadi,102.0,5.0,18.0,31.7,28.1,1.0,zone,2022
Sankuru,Ototo,102.0,5.0,17.0,16.9,66.9,1.0,zone,2022
Sankuru,Pania Mutombo,105.0,5.0,10.0,17.3,32.6,1.0,zone,2022
Sankuru,Tshudi Loto,109.0,5.0,11.0,9.2,63.0,1.0,zone,2022
Sankuru,Tshumbe,113.0,5.0,14.0,31.9,31.9,1.0,zone,2022
Sankuru,Vanga Kete,127.0,5.0,17.0,16.4,49.9,1.0,zone,2022
Sankuru,Wembo Nyama,104.0,5.0,15.0,50.6,27.3,1.0,zone,2022
Sud Ubangi,Bangabola,77.0,5.0,17.0,49.4,18.6,1.0,zone,2022
Sud Ubangi,Bogosenubea,87.0,5.0,21.0,37.5,3.5,1.0,zone,2022
Sud Ubangi,Bokonzi,108.0,5.0,24.0,20.8,17.6,1.0,zone,2022
Sud Ubangi,Bominenge,40.0,5.0,13.0,21.3,35.6,1.0,zone,2022
Sud Ubangi,Boto,97.0,5.0,22.0,31.9,12.6,1.0,zone,2022
Sud Ubangi,Budjala,63.0,5.0,16.0,60.5,5.9,1.0,zone,2022
Sud Ubangi,Bulu,116.0,5.0,18.0,29.6,15.6,1.0,zone,2022
Sud Ubangi,Bwamanda,76.0,5.0,21.0,49.0,1.8,1.0,zone,2022
Sud Ubangi,Gemena,95.0,5.0,31.0,50.4,9.2,1.0,zone,2022
Sud Ubangi,Kungu,98.0,5.0,21.0,11.5,24.1,1.0,zone,2022
Sud Ubangi,Libenge,69.0,5.0,20.0,25.5,11.4,1.0,zone,2022
Sud Ubangi,Mawuya,64.0,5.0,18.0,54.0,8.6,1.0,zone,2022
Sud Ubangi,Mbaya,85.0,5.0,11.0,58.0,11.3,1.0,zone,2022
Sud Ubangi,Ndage,58.0,5.0,22.0,43.2,12.4,1.0,zone,2022
Sud Ubangi,Tandala,68.0,5.0,18.0,47.2,10.1,1.0,zone,2022
Sud Ubangi,Zongo,94.0,5.0,15.0,33.0,9.6,1.0,zone,2022
Tanganyika,Ankoro,92.0,5.0,25.0,82.9,4.8,1.0,zone,2022
Tanganyika,Kabalo,109.0,5.0,25.0,50.4,5.1,1.0,zone,2022
Tanganyika,Kalemie,80.0,5.0,27.0,67.8,7.1,1.0,zone,2022
Tanganyika,Kansimba,68.0,5.0,21.0,8.5,60.3,1.0,zone,2022
Tanganyika,Kiambi,102.0,5.0,26.0,61.3,8.0,1.0,zone,2022
Tanganyika,Kongolo,85.0,5.0,25.0,59.7,1.4,1.0,zone,2022
Tanganyika,Manono,76.0,5.0,27.0,73.5,13.0,1.0,zone,2022
Tanganyika,Mbulula,108.0,5.0,21.0,40.7,1.6,1.0,zone,2022
Tanganyika,Moba,138.0,5.0,25.0,28.5,12.6,1.0,zone,2022
Tanganyika,Nyemba,98.0,5.0,21.0,60.6,6.5,1.0,zone,2022
Tanganyika,Nyunzu,95.0,5.0,25.0,15.5,32.1,1.0,zone,2022
Tshopo,Bafwagbogbo,82.0,5.0,18.0,9.3,59.8,1.0,zone,2022
Tshopo,Bafwasende,105.0,5.0,14.0,17.2,50.0,1.0,zone,2022
Tshopo,Banalia,83.0,5.0,20.0,4.7,75.4,1.0,zone,2022
Tshopo,Basali,90.0,5.0,14.0,2.2,90.9,1.0,zone,2022
Tshopo,Basoko,83.0,5.0,21.0,7.4,71.7,1.0,zone,2022
Tshopo,Bengamisa,73.0,5.0,17.0,3.4,67.8,1.0,zone,2022
Tshopo,Isangi,74.0,5.0,23.0,20.1,49.0,1.0,zone,2022
Tshopo,Kabondo,91.0,5.0,16.0,33.0,39.9,1.0,zone,2022
Tshopo,Lowa,89.0,5.0,17.0,6.8,56.3,1.0,zone,2022
Tshopo,Lubunga,99.0,5.0,18.0,18.3,61.0,1.0,zone,2022
Tshopo,Makiso Kisangani,89.0,5.0,21.0,25.0,44.7,1.0,zone,2022
Tshopo,Mangobo,79.0,5.0,18.0,41.6,31.9,1.0,zone,2022
Tshopo,Opala,95.0,5.0,23.0,6.5,77.8,1.0,zone,2022
Tshopo,Opienge,103.0,5.0,15.0,9.9,50.4,1.0,zone,2022
Tshopo,Tshopo,97.0,5.0,16.0,19.0,49.8,1.0,zone,2022
Tshopo,Ubundu,82.0,5.0,17.0,7.6,50.6,1.0,zone,2022
Tshopo,Wanierukula,98.0,5.0,14.0,11.6,45.8,1.0,zone,2022
Tshopo,Yabaondo,64.0,5.0,23.0,9.1,71.7,1.0,zone,2022
Tshopo,Yahisuli,95.0,5.0,17.0,2.9,87.7,1.0,zone,2022
Tshopo,Yahuma,73.0,5.0,27.0,9.7,84.5,1.0,zone,2022
Tshopo,Yakusu,82.0,5.0,22.0,20.5,46.1,1.0,zone,2022
Tshopo,Yaleko,87.0,5.0,21.0,5.3,69.2,1.0,zone,2022
Tshopo,Yalimbongo,86.0,5.0,17.0,5.0,64.3,1.0,zone,2022
Tshuapa,Befale,93.0,5.0,22.0,10.9,23.8,1.0,zone,2022
Tshuapa,Boende,102.0,5.0,37.0,11.2,21.2,1.0,zone,2022
Tshuapa,Bokungu,121.0,5.0,24.0,35.5,7.0,1.0,zone,2022
Tshuapa,Busanga,110.0,5.0,16.0,13.1,55.8,1.0,zone,2022
Tshuapa,Djolu,124.0,5.0,28.0,1.6,38.6,1.0,zone,2022
Tshuapa,Ikela,109.0,5.0,28.0,53.3,9.8,1.0,zone,2022
Tshuapa,Lingomo,107.0,5.0,19.0,0.7,38.5,1.0,zone,2022
Tshuapa,Mompono,116.0,5.0,15.0,11.8,33.0,1.0,zone,2022
Tshuapa,Mondombe,101.0,5.0,22.0,24.6,13.3,1.0,zone,2022
Tshuapa,Monkoto,100.0,5.0,25.0,21.9,25.4,1.0,zone,2022
Tshuapa,Wema,114.0,5.0,20.0,2.6,52.6,1.0,zone,2022
Tshuapa,Yalifafu,114.0,5.0,21.0,14.5,37.2,1.0,zone,2022
Bas Uele,,943.0,55.0,169.0,32.230752916224816,26.785047720042414,11.0,province,2022
Equateur,,1933.0,90.0,286.0,55.152353854112775,7.965649249870667,18.0,province,2022
Haut Katanga,,2363.0,134.0,410.0,60.44617012272534,20.475751163774863,27.0,province,2022
Haut Lomami,,1783.0,79.0,351.0,94.60420639371846,2.0761076836791923,16.0,province,2022
Haut Uele,,1302.0,65.0,212.0,41.945314900153605,33.71021505376344,13.0,province,2022
Ituri,,2221.0,133.0,480.0,66.74119765871228,5.5679423683025675,28.0,province,2022
Kasai,,1703.0,90.0,406.0,47.76717557251909,18.055196711685262,18.0,province,2022
Kasai Central,,2446.0,130.0,459.0,64.18536385936223,6.104006541291906,26.0,province,2022
Kasai Oriental,,1717.0,95.0,325.0,50.22620850320326,20.8889341875364,19.0,province,2022
Kinshasa,,3094.0,176.0,417.0,86.2753716871364,2.5657078215901747,35.0,province,2022
Kongo Central,,3218.0,154.0,405.0,69.79729645742698,10.063859540087009,31.0,province,2022
Kwango,,1761.0,70.0,305.0,75.75337876206702,8.75678591709256,14.0,province,2022
Kwilu,,2147.0,120.0,661.0,79.71993479273405,5.404750815090824,24.0,province,2022
Lomami,,1448.0,81.0,316.0,68.90849447513813,8.907527624309392,16.0,province,2022
Lualaba,,1334.0,70.0,244.0,62.999925037481255,15.617241379310343,14.0,province,2022
Maindombe,,1699.0,67.0,311.0,68.65779870512067,23.235373749264273,14.0,province,2022
Maniema,,1643.0,89.0,284.0,17.971089470480827,46.757577601947645,18.0,province,2022
Mongala,,1104.0,60.0,295.0,19.908423913043475,38.61675724637681,12.0,province,2022
Nord Kivu,,2495.0,131.0,500.0,82.29603206412824,2.3285370741482967,26.0,province,2022
Nord Ubangi,,896.0,55.0,178.0,71.13995535714285,4.834709821428572,11.0,province,2022
Sankuru,,1689.0,80.0,249.0,23.95713439905269,39.83096506808763,16.0,province,2022
Sud Kivu,,3285.0,169.0,663.0,66.5710197869102,9.725631659056317,34.0,province,2022
Sud Ubangi,,1295.0,80.0,308.0,37.91953667953668,12.697683397683397,16.0,province,2022
Tanganyika,,1051.0,55.0,268.0,49.26298763082779,12.547098001902949,11.0,province,2022
Tshopo,,1999.0,115.0,429.0,12.914507253626812,60.41415707853926,23.0,province,2022
Tshuapa,,1311.0,60.0,277.0,16.756979405034325,29.964454614797866,12.0,province,2022
,,47880.0,2503.0,9208.0,58.49855054302423,16.491284461152883,501.0,national,2022
